name,date,socket,category,speed,turbo,cpuCount,cores,logicals,l1_cache,l2_cache,l3_cache
AArch64 rev 2 (aarch64),2021-02-01,Unknown,Unknown,2189.0,0.0,1,8,1,0.0,0.0,0.0
AArch64 rev 4 (aarch64),2021-01-01,Unknown,Unknown,2112000.0,0.0,1,8,1,0.0,0.0,0.0
AC8257V/WAB,2021-01-01,Unknown,Unknown,2001000.0,0.0,1,8,1,0.0,0.0,0.0
AMD 3015Ce,2021-07-01,FT5,Mobile/Embedded,1200.0,2300.0,1,2,2,64.0,1024.0,0.0
AMD 3015e,2020-07-01,Unknown,Laptop,1200.0,2300.0,1,2,2,64.0,1024.0,0.0
AMD 3020e,2020-06-01,Unknown,Laptop,1200.0,2600.0,1,2,1,64.0,1024.0,0.0
AMD 4700S,2021-04-01,Unknown,Desktop,3600.0,4000.0,1,8,2,32.0,512.0,4096.0
AMD A10 Micro-6700T APU,2015-05-01,FT3b,Laptop,1200.0,2200.0,1,4,1,64.0,2048.0,0.0
AMD A10 PRO-7350B APU,2014-06-01,FP3,Laptop,2100.0,3300.0,1,4,1,0.0,0.0,0.0
AMD A10 PRO-7800B APU,2014-10-01,FM2+,Desktop,3500.0,3900.0,1,2,2,64.0,2048.0,0.0
AMD A10 PRO-7850B APU,2014-11-01,FM2+,Desktop,3700.0,4000.0,1,2,2,64.0,2048.0,0.0
AMD A10-4600M APU,2012-04-01,FS1r2,Laptop,2300.0,3200.0,1,2,2,64.0,2048.0,0.0
AMD A10-4655M APU,2012-07-01,FP2,Laptop,2000.0,2800.0,1,2,2,64.0,2048.0,0.0
AMD A10-4657M APU,2013-05-01,FP2,Laptop,2300.0,3200.0,1,4,1,64.0,2048.0,0.0
AMD A10-5700 APU,2012-06-01,FM2,Desktop,3400.0,4000.0,1,2,2,64.0,2048.0,0.0
AMD A10-5745M APU,2013-07-01,FP2,Laptop,2100.0,2900.0,1,4,1,64.0,2048.0,0.0
AMD A10-5750M APU,2013-05-01,FS1r2,Laptop,2500.0,3500.0,1,4,1,64.0,2048.0,0.0
AMD A10-5757M APU,2013-07-01,FP2,Laptop,2500.0,3500.0,1,4,1,64.0,2048.0,0.0
AMD A10-5800B APU,2013-07-01,FM2,Desktop,3800.0,4200.0,1,2,2,64.0,2048.0,0.0
AMD A10-5800K APU,2012-10-01,FM2,Desktop,3800.0,4200.0,1,2,2,64.0,2048.0,0.0
AMD A10-6700 APU,2013-06-01,FM2,Desktop,3700.0,4300.0,1,4,1,64.0,2048.0,0.0
AMD A10-6700T APU,2014-06-01,FM2,Desktop,2500.0,3500.0,1,2,2,64.0,2048.0,0.0
AMD A10-6790K APU,2013-12-01,FM2,Desktop,4000.0,4300.0,1,2,2,64.0,2048.0,0.0
AMD A10-6800B APU,2014-02-01,FM2,Desktop,4100.0,4400.0,1,2,2,64.0,2048.0,0.0
AMD A10-6800K APU,2013-06-01,FM2,Desktop,4100.0,4400.0,1,2,2,64.0,2048.0,0.0
AMD A10-7300 APU,2014-07-01,FP3,Laptop,1900.0,3200.0,1,4,1,64.0,2048.0,0.0
AMD A10-7400P,2014-12-01,FP3,Laptop,2500.0,3400.0,1,4,1,64.0,2048.0,0.0
AMD A10-7700K APU,2014-01-01,FM2+,Desktop,3400.0,3800.0,1,2,2,64.0,2048.0,0.0
