name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,l1_cache,l2_cache,l3_cache
AArch64 rev 2 (aarch64),0.0,0.0,2021-02-01,Unknown,Unknown,2189.0,0.0,1,8,1,2164,41,0.0,0.0,0.0
AArch64 rev 4 (aarch64),0.0,0.0,2021-01-01,Unknown,Unknown,2112000.0,0.0,1,8,1,2400,81,0.0,0.0,0.0
AC8257V/WAB,0.0,0.0,2021-01-01,Unknown,Unknown,2001000.0,0.0,1,8,1,3240,8,0.0,0.0,0.0
AMD 3015Ce,0.0,6.0,2021-07-01,FT5,Mobile/Embedded,1200.0,2300.0,1,2,2,2204,40,64.0,1024.0,0.0
AMD 3015e,0.0,6.0,2020-07-01,Unknown,Laptop,1200.0,2300.0,1,2,2,1918,20,64.0,1024.0,0.0
AMD 3020e,0.0,6.0,2020-06-01,Unknown,Laptop,1200.0,2600.0,1,2,1,2008,126,64.0,1024.0,0.0
AMD 4700S,0.0,0.0,2021-04-01,Unknown,Desktop,3600.0,4000.0,1,8,2,408,35,32.0,512.0,4096.0
AMD A10 Micro-6700T APU,0.0,5.0,2015-05-01,FT3b,Laptop,1200.0,2200.0,1,4,1,2623,9,64.0,2048.0,0.0
AMD A10 PRO-7350B APU,0.0,19.0,2014-06-01,FP3,Laptop,2100.0,3300.0,1,4,1,2274,142,0.0,0.0,0.0
AMD A10 PRO-7800B APU,0.0,65.0,2014-10-01,FM2+,Desktop,3500.0,3900.0,1,2,2,1725,29,64.0,2048.0,0.0
AMD A10 PRO-7850B APU,148.02,95.0,2014-11-01,FM2+,Desktop,3700.0,4000.0,1,2,2,1648,19,64.0,2048.0,0.0
AMD A10-4600M APU,78.02,35.0,2012-04-01,FS1r2,Laptop,2300.0,3200.0,1,2,2,2305,1056,64.0,2048.0,0.0
AMD A10-4655M APU,0.0,25.0,2012-07-01,FP2,Laptop,2000.0,2800.0,1,2,2,2480,157,64.0,2048.0,0.0
AMD A10-4657M APU,0.0,35.0,2013-05-01,FP2,Laptop,2300.0,3200.0,1,4,1,2407,3,64.0,2048.0,0.0
AMD A10-5700 APU,59.95,65.0,2012-06-01,FM2,Desktop,3400.0,4000.0,1,2,2,1889,629,64.0,2048.0,0.0
AMD A10-5745M APU,0.0,25.0,2013-07-01,FP2,Laptop,2100.0,2900.0,1,4,1,2416,562,64.0,2048.0,0.0
